date,data,change,pct_change,id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,month_year
2000-12-01,,0.0,0.0,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",12-2000
2001-01-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",01-2001
2001-02-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",02-2001
2001-03-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",03-2001
2001-04-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",04-2001
2001-05-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",05-2001
2001-06-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",06-2001
2001-07-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",07-2001
2001-08-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",08-2001
2001-09-01,,,,NPPTTL,2020-06-18,2020-06-18,Total Nonfarm Private Payroll Employment,2002-04-01,2020-05-01,Monthly,M,Thousands,Thous.,Seasonally Adjusted,SA,2020-06-03 07:26:01-05,62,"Copyright, 2016, Automatic Data Processing, Inc. (""ADP"").",09-2001
