" Date","SPX Open","SPX Low","SPX High","SPX Close","SPX Adj. Close"
05-04-2020,"2,815.00 ","2,798.00 ","2,827.00 ","2,815.00 ","2,815.00 "
05-01-2020,"2,869.09 ","2,821.61 ","2,869.09 ","2,830.71 ","2,830.71 "
04-30-2020,"2,930.91 ","2,892.47 ","2,930.91 ","2,912.43 ","2,912.43 "
04-29-2020,"2,918.46 ","2,912.16 ","2,954.86 ","2,939.51 ","2,939.51 "
04-28-2020,"2,909.96 ","2,860.71 ","2,921.15 ","2,863.39 ","2,863.39 "
04-27-2020,"2,854.65 ","2,852.89 ","2,887.72 ","2,878.48 ","2,878.48 "
04-24-2020,"2,812.64 ","2,791.76 ","2,842.71 ","2,836.74 ","2,836.74 "
04-23-2020,"2,810.42 ","2,794.26 ","2,844.90 ","2,797.80 ","2,797.80 "
04-22-2020,"2,787.89 ","2,775.95 ","2,815.10 ","2,799.31 ","2,799.31 "
04-21-2020,"2,784.81 ","2,727.10 ","2,785.54 ","2,736.56 ","2,736.56 "
04-20-2020,"2,845.62 ","2,820.43 ","2,868.98 ","2,823.16 ","2,823.16 "
04-17-2020,"2,842.43 ","2,830.88 ","2,879.22 ","2,874.56 ","2,874.56 "
04-16-2020,"2,799.34 ","2,764.32 ","2,806.51 ","2,799.55 ","2,799.55 "
04-15-2020,"2,795.64 ","2,761.54 ","2,801.88 ","2,783.36 ","2,783.36 "
04-14-2020,"2,805.10 ","2,805.10 ","2,851.85 ","2,846.06 ","2,846.06 "
04-13-2020,"2,782.46 ","2,721.17 ","2,782.46 ","2,761.63 ","2,761.63 "
04-09-2020,"2,776.99 ","2,762.36 ","2,818.57 ","2,789.82 ","2,789.82 "
04-08-2020,"2,685.00 ","2,663.30 ","2,760.75 ","2,749.98 ","2,749.98 "
04-07-2020,"2,738.65 ","2,657.67 ","2,756.89 ","2,659.41 ","2,659.41 "
04-06-2020,"2,578.28 ","2,574.57 ","2,676.85 ","2,663.68 ","2,663.68 "
04-03-2020,"2,514.92 ","2,459.96 ","2,538.18 ","2,488.65 ","2,488.65 "
04-02-2020,"2,458.54 ","2,455.79 ","2,533.22 ","2,526.90 ","2,526.90 "
04-01-2020,"2,498.08 ","2,447.49 ","2,522.75 ","2,470.50 ","2,470.50 "
03-31-2020,"2,614.69 ","2,571.15 ","2,641.39 ","2,584.59 ","2,584.59 "
03-30-2020,"2,558.98 ","2,545.28 ","2,631.80 ","2,626.65 ","2,626.65 "
03-27-2020,"2,555.87 ","2,520.02 ","2,615.91 ","2,541.47 ","2,541.47 "
03-26-2020,"2,501.29 ","2,500.72 ","2,637.01 ","2,630.07 ","2,630.07 "
